scenario,metering_rate,total_return,return_std,avg_speed_kmh,speed_std,avg_queue_m,queue_std,num_episodes,paper_distance
stationary,200.0,4633.491200173489,0.0,54.54163143523847,0.0,159.2920476712606,0.0,1,3.173815534546802
stationary,250.0,4491.671968950223,0.0,53.39168002249825,0.0,159.6108028124639,0.0,1,3.1578498825306562
stationary,300.0,4866.995944845711,0.0,55.88429249334643,0.0,153.25992952965507,0.0,1,3.049130669411326
stationary,350.0,4576.982744690076,0.0,53.35775141973298,0.0,152.16228547315663,0.0,1,2.968522862039217
stationary,400.0,4468.038017058054,0.0,51.353955455937935,0.0,141.20305313787478,0.0,1,2.649118317002758
stationary,450.0,4665.8070654462035,0.0,50.07303491777153,0.0,111.91309372386488,0.0,1,1.8806374886896626
