scenario,metering_rate,total_return,return_std,avg_speed_kmh,speed_std,avg_queue_m,queue_std,num_episodes,paper_distance
flat_peak,200.0,5065.622352498411,9.094947017729282e-13,57.98560105313443,7.105427357601002e-15,157.7208144898098,0.0,10,3.3568612146349714
flat_peak,250.0,5242.069156284865,0.0,59.45411373725544,7.105427357601002e-15,157.7020410154824,2.842170943040401e-14,10,3.3848779816469587
flat_peak,300.0,5271.045715317685,9.094947017729282e-13,59.223364850907856,7.105427357601002e-15,152.97983889927136,2.842170943040401e-14,10,3.2537280388652734
flat_peak,350.0,5242.772667583841,0.0,58.82255467242991,0.0,151.32782442564593,2.842170943040401e-14,10,3.201630112489391
flat_peak,400.0,5250.763288699068,0.0,57.74665064333588,7.105427357601002e-15,139.90289904176998,2.842170943040401e-14,10,2.8742721239906466
flat_peak,450.0,5722.865915222645,0.0,58.44181636112453,0.0,107.51267067602501,0.0,10,2.0189365111997506
flat_peak,500.0,6856.442228640439,0.0,58.34543617556308,7.105427357601002e-15,12.084176035594085,0.0,10,0.8089947653031153
flat_peak,550.0,6856.442228640439,0.0,58.34543617556308,7.105427357601002e-15,12.084176035594085,0.0,10,0.8089947653031153
flat_peak,600.0,7138.622653103803,9.094947017729282e-13,59.578870714613984,7.105427357601002e-15,0.9034860541561894,1.1102230246251565e-16,10,1.1328608139004381
flat_peak,650.0,7138.622653103803,9.094947017729282e-13,59.578870714613984,7.105427357601002e-15,0.9034860541561894,1.1102230246251565e-16,10,1.1328608139004381
flat_peak,700.0,7217.149709502602,0.0,60.18670555469138,7.105427357601002e-15,0.43791308836366516,0.0,10,1.1571542695897499
flat_peak,750.0,7217.149709502602,0.0,60.18670555469138,7.105427357601002e-15,0.43791308836366516,0.0,10,1.1571542695897499
flat_peak,800.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,850.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,900.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,950.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,1000.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,1050.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,1100.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,1150.0,7279.542899336125,9.094947017729282e-13,60.726286540647195,7.105427357601002e-15,0.6342904617952304,0.0,10,1.162365971702853
flat_peak,1200.0,6167.903985168653,0.0,51.76918227859566,0.0,3.699824021902514,0.0,10,0.9061778613509924
