episode,return,avg_speed_kmh,avg_queue_m
1,4980.99746,56.94095512450878,154.32642959073425
2,4812.701557,54.203142663797536,140.97296359287466
3,4997.566107,56.970438639813814,153.24054415360166
4,4855.239206,54.609376445672375,141.49049731127795
5,4821.94317,55.5482257448859,153.65365997803062
6,4964.574879,57.304284026334045,159.32826705113087
7,4955.864538,57.45577810876803,161.56906960281603
8,5075.879454,56.76866621164904,144.69670758177483
9,5103.778798,58.45208403906004,159.20594054046379
10,4882.758908,55.126375638214725,144.3671807286312
11,4850.339145,54.81258840081681,143.93095525413864
12,4915.12987,56.19921269678348,152.39797110669468
13,4782.746294,54.90744751429683,150.51228400334034
14,4925.368849,55.53858171191089,144.93841304505833
15,4910.17128,55.521811495590676,146.0371749696577
16,4940.414543,55.66768360376672,144.97562408115252
17,4909.683663,55.60440183805551,146.90371312081436
18,5108.146134,58.054101070308434,154.86216623968605
19,5082.854279,59.022740658264965,166.65621666592196
20,4784.3282,55.66959609244121,158.00194425406704
21,5007.58941,57.98433605155075,162.54424297532574
22,4948.438211,57.24023486392269,160.03249769371723
23,4851.076838,56.5344361912256,161.08795878031802
24,4988.53666,56.85024585336473,152.7910702287864
25,5070.065572,58.0196101596207,157.6906372833167
26,5037.299804,58.106821316099754,161.293229515228
27,4875.618514,55.31870054959144,146.8854626826073
28,4888.578539,56.619362275135764,158.81207779967002
29,5242.692824,59.72877473228116,160.39667868693815
30,5085.263492,58.16631119885022,157.89115429654657
31,4890.857197,57.112306626111746,163.55163319100123
32,4958.781512,56.57113584573075,152.47956576772316
33,5181.500211,59.80954422737161,166.30375804480275
34,4983.088746,57.389594129980836,158.6385457949469
35,5403.253661,61.25987815887443,162.3276431855503
36,5169.740161,59.40176574347502,163.20597731778878
37,4979.71812,57.269490235418495,157.71839232956918
38,4863.111599,56.99692292452714,164.70992929454752
39,4919.769958,56.328092911809605,153.30009925778626
40,5209.560914,59.06581379590121,156.52806176496796
41,5120.80653,60.58657146345138,179.13183716589796
42,4815.427835,55.792352904074065,156.63787608479876
43,5237.178418,60.73100489309906,170.878514068219
44,5459.29931,62.2022152095665,167.08054290382844
45,5227.274183,59.42092117426428,158.60302984402503
46,4940.275264,57.273963189365986,161.0500265208183
47,4778.825957,54.39544135657258,145.7189171906796
48,5325.083496,61.61764623276866,172.41950432010546
49,4974.382973,56.96401577835802,155.1082433569573
50,5064.872565,59.41870818151692,172.1143680345463
51,4990.609255,58.698447803395695,171.1003734449757
52,4886.557431,57.193451996168484,164.72140069293818
53,5446.020281,62.141774921035996,167.58272578120645
54,5486.729057,63.318039280739626,175.95297137934085
55,5017.165618,59.2029628702587,173.9324938559681
56,5427.611327,61.74896706679259,165.18872677668358
57,4901.898121,55.99550076843666,151.4634975656116
58,5664.367741,64.71782543424798,175.14760927369662
59,5059.21797,59.44427574456363,172.84125996928353
60,5320.324329,61.93355451697005,175.97518441996834
61,5105.740628,60.194388871915315,176.46550301323677
62,5057.460828,58.65158726097763,165.0608036099028
63,4881.173092,56.711731849850274,160.35289415807202
64,5385.194451,61.998275868351136,171.2165544512147
65,5315.243914,61.248603533341004,169.54904246099395
66,4963.366517,57.29575593488789,159.3436829230867
67,5078.379946,59.09340216466442,167.73569284735575
68,5211.64048,60.377753656651,169.47416324600047
69,5496.660926,63.57199277251343,177.6648505842791
70,4880.479116,57.639299951669805,169.68640651930684
71,5165.504764,60.15552406409293,171.09651029846862
72,4808.930126,55.78844998188569,157.14032261672705
73,5468.305095,63.74750045605534,181.7829132991631
74,5133.455416,58.9571463723049,161.78351239697113
75,4980.934067,58.30522147232353,167.97437582993325
76,5271.311665,61.30308037281077,173.75483164435437
77,5031.818452,58.91991881706057,169.88098386238755
78,5300.583632,60.97845224418901,168.06921973738832
79,5137.544239,59.36040034122284,165.47531683774133
80,5089.538097,58.25626754492129,158.4345007222451
81,5130.283064,60.1457873143428,173.93428445349346
82,5155.573155,60.11732681502678,171.54217186535007
83,5048.909434,58.98890998088671,169.14664700374053
84,4966.131299,58.06681002464763,166.823825328526
85,5010.40145,58.34584959985732,165.92504186054109
86,5088.630588,58.486187980916945,160.80933077024918
87,4970.078435,58.498893383669156,170.81573089894295
88,5017.304064,57.21894184406343,154.08074640448206
89,4948.736749,57.32785347977965,160.88380572194893
90,4792.2552,55.4684460091257,155.32986005534298
91,5116.548156,58.29427847906498,156.56377183186743
92,5191.849915,59.73868152188454,164.7326556265996
93,5002.613318,57.55856037489378,158.70116055169677
94,4968.217875,57.445999493036865,160.44183868095595
95,4992.809057,57.490579110800894,158.8383696987638
96,5107.887483,59.451117203936796,168.85388179359282
97,4888.958165,56.62393281102095,158.82614771015108
98,5215.280627,59.387639231834996,159.26967340672152
99,4890.393589,56.70171824406081,159.48438334199133
100,4933.103099,56.94437452522094,158.35182034788505
101,5172.967288,59.56537937496908,164.57318641256717
102,5067.628527,58.74793340514377,165.17695678587333
103,5062.154069,59.16110921686033,169.76491977686004
104,5129.241675,59.851847637348484,171.0816700840326
105,4927.277403,57.19453036249073,161.3388533418852
106,5303.646775,60.96294115130804,167.658846912407
107,4976.970964,58.038829342419525,165.6407131226974
108,5050.752358,58.187905179856514,160.98302195825767
109,5150.183015,59.86547527105563,169.47283478943558
110,4948.610027,57.00479086391818,157.66373968166832
111,5062.110483,58.25384354215628,160.69589514808334
112,4914.788142,56.77918113076759,158.226132807455
113,5141.756658,58.751032126036236,159.03059976629737
114,5153.562789,59.36494148691585,164.1858491189044
115,5188.127004,59.985722503570045,167.513308071508
116,4995.938327,58.012429339347484,163.79609944200553
117,5208.145484,60.84006130714797,174.3884893833163
118,5119.309503,59.45233438866457,167.91421865308948
119,4950.402348,58.096162756573946,168.42809853299784
120,5307.814282,60.94722397206004,167.15438290643584
121,4974.965357,58.49975076135861,170.41706120608765
122,5089.55228,59.98760880421934,175.74673141038414
123,5245.598811,60.377298059842275,166.6397463514895
124,5389.857844,62.09642325062377,171.80941221047354
125,5244.908198,60.95687193075496,172.49303610906614
126,5201.85983,59.8717848478414,165.22952931314285
127,4780.137265,55.838110675183096,160.03633470120744
128,5218.06453,59.52570673688876,160.41835650105483
129,5107.286108,59.28804346353377,167.27325894355405
130,4970.309419,57.09583936652609,156.76594207548285
131,4916.745514,56.77075603641312,157.97876752281925
132,4973.067794,58.33177331143442,168.895416978775
133,5223.743686,60.22741733184348,166.9621994969733
134,5190.347104,60.403273178747696,171.50380647886044
135,5214.032257,59.32378029054973,158.73511481819932
136,5055.420301,58.665177973841764,165.3667546876445
137,5020.598488,58.29731677417417,164.58996043553154
138,5226.275762,59.468057016127744,159.15759000955345
139,4864.414806,56.826985696940895,162.9019564432169
140,5078.451218,58.55984051558832,162.39413695323069
141,5020.203368,57.65584824938323,158.20820181075518
142,5183.117462,59.077104521121704,158.84459002310177
143,5279.771832,61.02053081373824,170.22432217581445
144,5210.316574,59.028982926870704,156.0967813995557
145,5188.963584,60.150565337136655,169.09202141150453
146,5085.700234,59.73387893718534,173.53043656818664
147,5082.242971,59.36681770763334,170.14792949935156
148,5146.179159,59.92952875967016,170.4470243125262
149,5140.091937,59.30982075501073,164.75721276674585
150,4937.849317,57.604797709527396,164.56053404964274
151,5138.389691,57.960883794739765,151.40969707018132
152,5347.816548,60.996078553720615,164.30940653576175
153,5113.324588,58.42079812493899,158.09759895124606
154,4744.077454,54.83437789175132,153.0039910789085
155,5015.560618,57.423995222365086,156.2765674206336
156,5577.283795,62.31323978666505,158.3587482980365
157,5115.845793,58.41905846699246,157.87010190124212
158,4928.769096,56.29201106667421,152.18935268292432
159,4997.224512,56.319573778475075,146.76036178787007
160,4729.961713,54.68866224101395,152.7231463320631
161,5173.536064,59.01976766013561,159.06967124016805
162,4773.218655,55.132448198504285,153.55626075359802
163,4973.09693,56.85446694647849,154.1199253188004
164,5127.751701,58.146737632145765,154.15473453182526
165,4917.826005,56.09717093054392,151.15287552760245
166,5218.474673,59.705582968650056,162.1829402625827
167,5070.270112,57.217921989157034,149.65671055322355
168,5353.967835,61.273674032517455,166.57275407962976
169,4948.149718,56.01896838766412,147.8438740823743
170,4941.467229,56.59963686658248,154.20743289032427
171,4984.504015,56.06731866851854,145.2978520945499
172,5217.234692,59.52981010632156,160.5285434132554
173,5088.170861,58.30935844536156,159.07934600049902
174,5247.353466,60.89433332851453,171.6638777951305
175,5163.215504,59.28439182028486,162.5759595500832
176,5253.54913,59.43869072389305,156.59114639431144
177,5229.0801,58.85690112891758,152.812336330519
178,4958.586867,56.93034326146948,156.08786039286304
179,5100.549449,57.95896177679846,154.5438303623883
180,5316.139839,60.617758719142536,163.16593395232178
181,5014.074386,57.82211305957687,160.3815984281745
182,5111.96517,59.099827729771405,165.00117981074604
183,5328.212479,60.49192771682987,160.90157056132156
184,5310.540472,60.61250733746525,163.58003406068474
185,5118.468968,58.7534937185267,160.99585654336695
186,4801.760426,55.122243086666685,151.07572865971022
187,5154.862249,58.62794865147537,156.7076324287586
188,5358.860158,60.44338789417514,157.862199107639
189,4814.38948,54.39103695468353,142.7112462015975
190,4810.309497,55.75831946177206,156.7240698912698
191,4868.152907,54.78100605105756,142.1306515589741
192,5126.555806,57.84012891933835,151.18830537719998
193,5250.303997,59.19564240338211,154.43109097748763
194,4944.495536,56.76997368464076,155.65844214212208
195,4852.112671,55.801375019282055,153.67102760856713
196,4975.882787,56.557701116315364,150.9201122244226
197,5096.37805,57.66654389188635,151.9672680849295
198,5080.646877,57.41071743970497,150.71993466092852
199,5352.949263,59.949852156198396,153.41941634706794
200,5208.107585,60.5890866701419,171.88190129458974
201,5203.064259,59.426941929209775,160.68073107805793
202,5027.653429,58.700830782122715,168.0371887172338
203,4734.634569,55.070232724393826,156.1494464680427
204,4899.686691,55.410836377017624,145.80113950987197
205,4928.478638,55.71216023737028,146.41504916728033
206,5025.019766,56.21144201689229,143.36277302585444
207,4953.751303,56.44845173583685,151.67190878232807
208,5216.027437,57.896666866731906,144.2977155519415
209,5132.916101,57.31961820278373,145.45317363666055
210,5024.644793,57.07269161385094,152.0065167591591
211,4725.740985,53.71823432196501,143.37059447119128
212,5103.609283,58.489434522015046,159.59357162248926
213,4891.582628,56.997753643971556,162.3456507600268
214,5086.288253,57.127352611078315,147.41617170561324
215,4949.771331,56.639420635162956,153.91326211919792
216,5217.291551,59.94436176139728,164.66932173834857
217,5194.098195,58.98586285394237,157.01711225047805
218,5027.893852,57.195878224170734,152.96762789825698
219,4989.634462,56.655802536656935,150.75515356325312
220,5077.972241,58.64668915217113,163.30253806811203
221,5001.628771,56.930364313924535,152.50124554912543
222,5200.837388,58.495553574563274,151.55242006470797
223,5646.357014,65.21721565319898,181.6424053587747
224,5439.261855,63.18678007157738,178.59597949204786
225,5664.914103,65.96396915013196,187.56351627379777
226,5595.564581,65.00902400676064,183.79319168641445
227,5763.435013,66.24536240231029,182.1673729394823
228,5587.896249,64.94016541620513,183.7436333823179
229,5621.40523,65.00301983369361,181.57976247418358
230,5505.433205,63.51328390110588,176.3467386152938
231,5184.154315,60.463636535558486,172.62350576685566
232,5696.759419,65.84884496131075,183.75849804751994
233,5329.121061,62.58801629728638,181.7867412459865
234,5624.088715,64.52114841446551,176.53742456319534
235,5734.824269,65.74254777338125,179.52345534134992
236,5745.252333,65.79921874903295,179.22115973715626
237,5660.223837,65.5419811961738,183.7344922262524
238,5702.083386,65.80190228290128,182.8454073568875
239,5549.976001,63.770921978587936,175.21121966738545
240,5801.435499,66.51150264888118,181.66206827198815
241,5801.435499,66.51150264888118,181.66206827198815
242,5801.435499,66.51150264888118,181.66206827198815
243,5801.435499,66.51150264888118,181.66206827198815
244,5801.435499,66.51150264888118,181.66206827198815
245,5801.435499,66.51150264888118,181.66206827198815
246,5801.435499,66.51150264888118,181.66206827198815
247,5801.435499,66.51150264888118,181.66206827198815
248,5801.435499,66.51150264888118,181.66206827198815
249,5801.435499,66.51150264888118,181.66206827198815
250,5801.435499,66.51150264888118,181.66206827198815
251,5801.435499,66.51150264888118,181.66206827198815
252,5801.435499,66.51150264888118,181.66206827198815
253,5801.435499,66.51150264888118,181.66206827198815
254,5801.435499,66.51150264888118,181.66206827198815
255,5801.435499,66.51150264888118,181.66206827198815
256,5801.435499,66.51150264888118,181.66206827198815
257,5135.368622,58.79161810605184,159.96879592812147
258,5139.857516,58.540882213701984,157.08736250478432
259,4882.26431,56.72713474674012,160.41598834046178
260,4977.898484,56.7549008629808,152.72413497215624
261,5303.718422,60.51312307676642,163.15469562354215
262,4945.280305,56.11238901851969,149.01719806336416
263,5229.809546,59.12934377000001,155.47597549479386
264,5313.376381,60.415092270793096,161.36955764157616
265,5196.811383,59.552943170712915,162.4618164243404
266,4838.850502,55.328090846214565,150.043366600391
267,5181.562149,58.599089743974645,154.19405168371006
268,5092.259846,58.58721960639665,161.51720888996502
269,4971.426013,56.67468957307956,152.461394618544
270,5249.527701,60.1029014447754,163.56837272812766
271,5141.143339,58.933899584739976,160.9103842300614
272,5216.723431,59.384049875935865,159.1135462120104
273,5140.74856,58.76524698888695,159.2567565505262
274,5438.749918,61.76339206348521,164.404760786992
275,5237.383053,60.01611842519658,163.71259648954447
276,5313.544583,60.39533487932138,161.1579668689927
277,5227.628771,60.03112673118264,164.67553643179815
278,5373.646916,61.40280668493729,166.2241572114119
279,5437.643077,61.575752884722746,162.62060578628655
280,5216.228033,59.65607368591815,161.87506746215135
281,5385.480808,61.51805996464832,166.3905322836054
282,5211.048915,58.95041696989526,155.25009341517477
283,5065.027436,58.05106778084385,158.42505811560932
284,5502.769116,62.72502647171747,168.68617175368095
285,5341.909994,61.12666431159514,166.1074769119584
286,5436.273144,63.44693338256983,181.44657181016262
287,5349.47632,61.160156301413615,165.81186964526066
288,5418.032812,62.07587111986579,169.2559768912885
289,5033.527196,57.978145814290336,160.32085847506406
290,5257.088886,60.445851306296056,166.36777252524735
291,5312.334438,60.5904649255159,163.21011279279762
292,5260.198773,60.50904662224938,166.7405684538151
293,5379.951049,61.54909779761395,167.1617238582663
294,5218.439848,59.642281389995084,161.55282652887416
295,5258.868608,60.53223446752197,167.0832940247477
296,5228.695879,59.833280556415204,162.60814894777184
297,5385.482223,61.78560844437724,169.06589917385796
298,5276.478434,60.332327405685646,163.61673785227268
299,5452.343127,61.91465409539466,164.78461373101928
300,5590.197225,63.74299555708858,171.58018680179686
301,5497.214373,62.87197838054003,170.61858608248738
302,5240.582254,59.74986371021238,160.78344923987459
303,5585.205782,63.57549959338592,170.32118077102112
304,5101.12331,58.64598953159792,161.36628611806626
305,5105.384276,58.745442891967436,162.00573923424253
306,5311.804148,60.67547348070809,164.10438909981903
307,5385.50326,61.30029995112935,164.21106116792708
308,5410.423159,62.23827909469489,171.51419434120757
309,5245.352916,60.01697996281525,163.05705660559022
310,5750.65874,66.00628462679654,180.84128460422198
311,5368.10482,61.785772937725675,170.51566101052396
312,5352.744441,61.34924894255955,167.4304527018235
313,5237.483258,60.77483138553016,171.2913757093347
314,5301.573578,60.92594651444377,167.4616669897768
315,5346.607573,61.202054750142956,166.46991640013124
316,5175.860972,59.87758935486377,167.45414591814284
317,5409.548556,61.499220523887736,164.19649224618794
318,5418.257899,62.316062435774334,171.6391327382898
319,5133.99123,58.78218075591479,159.98920504004212
320,5008.655604,56.8311045780953,150.92307880585935
321,5282.746949,60.52558755654406,165.02696311872475
322,5222.652188,59.77947212028151,162.5737055444311
323,5456.049142,62.55576949836327,170.88693314297623
324,5285.308287,60.938199452137205,168.93963723511996
325,5598.949179,64.20642939369729,175.48519566511766
326,5654.365924,65.03130791449226,179.1159188025005
327,5550.646774,63.78015213435553,175.24762351066323
328,5514.244476,63.32423146437406,173.72194166639073
329,5523.953826,63.579774064671135,175.46825512346672
330,5472.972493,62.034902751701864,164.26798643114955
331,5688.247112,64.78419669120116,173.8213742137025
332,5624.308919,64.28171481078328,174.12473816935736
333,5415.421982,61.908610723720145,167.80094209126491
334,5504.477504,63.364379269744674,174.93733405237734
335,5439.113783,62.70269313509511,173.7674494217211
336,5556.756289,63.580616394088466,172.74313986859258
337,5555.430814,63.22838579176821,169.33129007059125
338,5544.779875,63.32408297112206,171.17584014351027
339,5422.688289,63.059727084364404,178.70658008204794
340,5231.064509,60.03970541875715,164.4750117936479
341,5508.405478,63.13637717259806,172.32998189612712
342,5531.305757,63.66049786722204,175.66283227018138
343,5455.970909,62.54056496538336,170.74140721202735
344,5425.787343,61.95157273134626,167.36678208645364
345,5626.516107,64.28659156884042,173.989573473583
346,5498.208381,63.03982854889634,172.21425374075662
